ž	z
ż	z
Ż	Z
Ź	Z
Ŷ	Y
ų	u
Ų	U
Ű	U
ů	u
ũ	u
ſ	s
Ŧ	T
ţ	t
Ţ	T
ŝ	s
Ŝ	S
ś	s
ř	r
Ř	R
Ŗ	R
ŕ	r
œ	o
Ő	O
ŏ	o
Ŋ	N
ŉ	n
Ž	Z
Ň	N
Ş	S
Ņ	N
Ł	L
Ŀ	L
Ľ	L
ļ	l
ū	u
Ĺ	L
ź	z
ĸ	K
Ķ	K
Ĵ	J
ű	u
ı	i
İ	I
Ŵ	W
ĳ	i
Į	I
ĭ	i
Ĭ	I
Ļ	L
ī	i
ĩ	i
Ĩ	I
Ś	S
ħ	h
Ħ	H
Š	S
Ō	O
ĵ	J
ġ	g
â	a
Ğ	G
Õ	O
ě	e
ÿ	y
Ě	E
ĺ	l
Á	A
Č	C
Ġ	G
ķ	k
Ę	E
Ĕ	E
ş	s
Ĳ	I
Ø	O
ē	e
đ	d
ŵ	w
Ģ	G
ď	d
Ċ	C
ĉ	c
ŗ	r
ć	c
ą	a
Ă	A
ā	a
Ń	N
þ	p
ü	u
ń	n
ú	u
ì	i
ù	u
Ď	D
ă	a
õ	o
ė	e
Ĥ	H
ó	o
Ĉ	C
ð	e
ŀ	l
č	c
ĕ	e
ø	o
Þ	P
ï	i
Ē	E
ŷ	y
ë	e
Ī	I
é	e
ę	e
ŭ	u
ç	c
ť	t
î	i
Ė	E
ņ	n
ñ	n
å	a
ä	a
ö	o
ŧ	t
ã	a
Œ	O
ċ	c
Ŕ	R
á	a
Ú	U
ň	n
Ą	A
Ŏ	O
Ý	Y
į	i
Ć	C
ý	y
Ù	U
ğ	g
è	e
ō	o
Ĝ	G
ô	o
ê	e
Ó	O
Ö	O
Ò	O
Ñ	N
æ	a
ò	o
ł	l
û	u
Ï	I
Ū	U
Å	A
Đ	D
Û	U
Î	I
Ā	A
ő	o
Ô	O
Ů	U
Í	I
ľ	l
ß	B
Ũ	U
í	i
Ë	E
ģ	g
ĝ	g
Ÿ	Y
à	a
Ü	U
Ê	E
È	E
š	s
ĥ	h
Ç	C
Ť	T
Æ	A
Ä	A
É	E
Ì	I
À	A
ŋ	n
Ã	A
Ŭ	U
Â	A
